,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
896,Ruben Gabrielsen\Ruben-Gabrielsen,no NOR,DF,Toulouse,fr Ligue 1,27,1992,7.3,8,7,8,0,0,1,4,25.0,3,38,15,39.5,24,12,2,7,4,0,3,7,15,55,0,Matches
897,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,24,1995,11.6,23,17,4,14,5,7,32,21.9,25,282,80,28.4,60,139,83,26,1,0,25,15,38,10,0,Matches
898,Luca Gagliano\Luca-Gagliano,it ITA,FWMF,Cagliari,it Serie A,19,2000,0.6,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,1,1,0,0,Matches
899,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,25,1994,19.0,38,26,12,16,10,12,43,27.9,31,364,117,32.1,115,156,93,39,8,0,31,27,65,19,0,Matches
900,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,29,1990,27.9,54,36,32,16,6,26,65,40.0,39,316,92,29.1,197,83,36,72,17,0,55,52,106,100,0,Matches
901,Nicolás Gaitán\Nicolas-Gaitan,ar ARG,MFFW,Lille,fr Ligue 1,31,1988,0.6,2,1,1,1,0,1,2,50.0,1,18,3,16.7,2,10,6,4,0,0,4,0,2,3,0,Matches
902,Marvin Gakpa\Marvin-Gakpa,fr FRA,MFFW,Metz,fr Ligue 1,25,1993,5.2,9,7,2,5,2,4,9,44.4,5,102,28,27.5,21,60,21,9,1,0,8,3,12,2,0,Matches
903,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,es La Liga,32,1986,9.8,10,6,1,5,4,1,5,20.0,4,173,48,27.7,13,61,99,9,2,0,7,4,14,9,0,Matches
904,Enric Gallego\Enric-Gallego,es ESP,FW,Getafe,es La Liga,32,1986,1.8,4,2,1,1,2,0,2,0.0,2,19,4,21.1,2,10,7,3,0,0,3,2,6,2,0,Matches
905,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,32,1987,17.6,15,12,5,7,3,3,17,17.6,14,349,72,20.6,43,170,136,13,0,0,13,5,20,4,0,Matches
906,Fran Gámez\Fran-Gamez,es ESP,DF,Mallorca,es La Liga,28,1991,19.6,70,40,32,33,5,35,76,46.1,41,307,70,22.8,128,141,38,58,12,0,46,31,101,43,0,Matches
907,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,29,1989,18.4,75,47,28,32,15,20,49,40.8,29,450,142,31.6,136,224,90,31,5,0,26,31,106,18,0,Matches
908,Ignatius Ganago\Ignatius-Ganago,cm CMR,FWMF,Nice,fr Ligue 1,20,1999,13.8,11,8,5,4,2,4,20,20.0,16,285,48,16.8,55,135,95,9,2,0,7,4,15,10,0,Matches
909,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,es La Liga,32,1986,16.0,12,7,7,4,1,7,10,70.0,3,63,18,28.6,46,14,3,26,18,0,8,13,25,95,1,Matches
910,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,es La Liga,29,1990,33.7,74,43,30,38,6,22,79,27.8,57,504,156,31.0,160,296,48,52,7,0,45,50,124,102,1,Matches
911,David García\David-Garcia,es ESP,DF,Osasuna,es La Liga,25,1994,31.0,39,27,19,20,0,17,36,47.2,19,263,93,35.4,131,130,2,46,17,1,29,49,88,257,2,Matches
912,Eric García\Eric-Garcia,es ESP,DF,Manchester City,eng Premier League,18,2001,8.8,11,4,7,3,1,6,11,54.5,5,74,20,27.0,44,25,5,8,0,0,8,18,29,47,1,Matches
913,Javi García\Javi-Garcia,es ESP,MF,Betis,es La Liga,32,1987,4.2,2,1,2,0,0,0,1,0.0,1,33,6,18.2,13,20,0,3,0,0,3,4,6,26,0,Matches
914,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,33,1986,21.9,51,38,12,36,3,15,71,21.1,56,477,147,30.8,129,295,53,33,10,0,23,28,79,61,0,Matches
915,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,es La Liga,30,1989,11.2,20,13,9,8,3,9,27,33.3,18,146,45,30.8,78,47,21,24,2,0,22,9,29,50,0,Matches
916,Raúl García\Raul-Garcia,es ESP,DF,Getafe,es La Liga,30,1989,2.7,7,5,3,4,0,2,6,33.3,4,34,10,29.4,23,11,0,10,1,0,9,4,11,7,0,Matches
917,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,es La Liga,33,1986,31.9,65,37,25,25,15,15,75,20.0,60,734,199,27.1,114,346,274,56,9,0,47,24,89,48,0,Matches
918,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,es La Liga,26,1993,24.3,51,26,17,26,8,9,36,25.0,27,408,126,30.9,85,220,103,46,6,0,40,10,61,22,0,Matches
919,Unai García\Unai-Garcia,es ESP,DF,Osasuna,es La Liga,27,1992,6.0,8,5,5,2,1,3,8,37.5,5,60,19,31.7,34,18,8,18,9,0,9,7,15,34,0,Matches
920,Víctor García\Victor-Garcia,es ESP,FWMF,Valladolid,es La Liga,22,1997,1.0,2,2,0,2,0,0,1,0.0,1,9,2,22.2,3,4,2,2,0,0,2,0,2,0,0,Matches
921,James Garner\James-Garner,eng ENG,MF,Manchester Utd,eng Premier League,18,2001,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,2,0,0,0,0,0,0,0,1,0,Matches
922,Manuel Garrido\Manuel-Garrido,es ESP,FW,Leganés,es La Liga,18,2000,1.3,0,0,0,0,0,0,4,0.0,4,46,14,30.4,5,25,16,1,0,0,1,1,1,0,0,Matches
923,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,28,1990,21.8,41,20,20,17,4,21,41,51.2,20,277,80,28.9,99,136,42,49,12,0,37,30,71,86,0,Matches
924,Daniele Gastaldello\Daniele-Gastaldello,it ITA,DF,Brescia,it Serie A,36,1983,3.7,8,7,7,1,0,1,4,25.0,3,27,9,33.3,18,8,1,8,2,0,6,3,11,19,0,Matches
925,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,eng Premier League,28,1990,9.4,13,10,5,7,1,2,5,40.0,3,118,33,28.0,19,54,45,10,5,0,5,2,15,8,0,Matches
926,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,27,1992,17.9,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
927,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,eng Premier League,23,1995,1.5,5,4,2,1,2,1,4,25.0,3,29,13,44.8,13,11,5,2,0,0,2,1,6,6,0,Matches
928,Yann Gboho\Yann-Gboho,fr FRA,FW,Rennes,fr Ligue 1,18,2001,2.5,3,2,1,1,1,0,3,0.0,3,64,19,29.7,12,36,16,4,0,0,4,1,4,1,0,Matches
929,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,28,1990,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,2,Matches
930,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,32,1986,27.0,44,30,23,16,5,19,42,45.2,23,340,113,33.2,161,131,48,50,7,0,43,63,107,113,1,Matches
931,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,de Bundesliga,21,1998,12.6,15,10,4,10,1,2,15,13.3,13,215,60,27.9,41,120,54,12,2,0,10,6,21,6,0,Matches
932,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,fr Ligue 1,22,1997,10.3,13,6,8,4,1,5,14,35.7,9,87,35,40.2,55,25,7,24,8,0,16,15,28,43,1,Matches
933,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,de Bundesliga,33,1985,27.1,59,36,22,33,4,18,74,24.3,56,612,166,27.1,132,339,141,62,9,1,53,50,109,69,0,Matches
934,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,25,1994,9.2,32,20,8,17,7,5,22,22.7,17,235,82,34.9,54,134,47,16,2,0,14,11,43,14,0,Matches
935,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,fr Ligue 1,29,1990,15.0,23,19,6,10,7,7,26,26.9,19,281,65,23.1,41,132,108,31,4,0,27,7,30,21,0,Matches
936,Gervinho\Gervinho,ci CIV,FW,Parma,it Serie A,32,1987,25.0,7,6,4,2,1,2,15,13.3,13,294,62,21.1,54,140,100,7,0,0,7,5,12,1,0,Matches
937,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,eng Premier League,24,1995,22.8,17,10,10,5,2,5,24,20.8,19,350,74,21.1,70,163,117,18,1,0,17,12,29,12,0,Matches
938,Rachid Ghezzal\Rachid-Ghezzal,dz ALG,MFFW,Fiorentina,it Serie A,27,1992,9.2,22,15,11,7,4,9,33,27.3,24,198,50,25.3,49,109,40,11,1,0,10,8,30,8,0,Matches
939,Andrea Ghezzi\Andrea-Ghezzi,it ITA,MFFW,Brescia,it Serie A,,,0.4,1,0,0,0,1,1,1,100.0,0,13,5,38.5,3,4,6,1,0,0,1,0,1,0,0,Matches
940,Paolo Ghiglione\Paolo-Ghiglione,it ITA,DF,Genoa,it Serie A,22,1997,19.1,31,19,14,14,3,13,31,41.9,18,258,75,29.1,105,94,59,28,2,0,26,8,39,47,0,Matches
941,Andrea Ghion\Andrea-Ghion,it ITA,FWMF,Sassuolo,it Serie A,19,2000,0.3,2,1,1,1,0,1,1,100.0,0,3,2,66.7,1,1,1,0,0,0,0,0,2,0,0,Matches
942,Saman Ghoddos\Saman-Ghoddos,ir IRN,FW,Amiens,fr Ligue 1,25,1993,2.6,3,2,1,1,1,1,5,20.0,4,45,9,20.0,9,23,13,5,0,0,5,4,7,4,0,Matches
943,Faouzi Ghoulam\Faouzi-Ghoulam,dz ALG,DF,Napoli,it Serie A,28,1991,4.0,8,3,2,5,1,2,4,50.0,2,40,10,25.0,8,24,8,9,2,0,7,4,12,6,0,Matches
944,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,eng Premier League,19,2000,1.4,1,1,0,1,0,0,0,,0,27,10,37.0,5,15,7,2,0,0,2,1,2,0,0,Matches
945,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,de Bundesliga,27,1991,22.9,50,23,33,11,6,23,52,44.2,29,322,83,25.8,185,99,38,42,8,0,34,24,74,75,1,Matches
946,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,de Bundesliga,31,1987,33.0,0,0,0,0,0,0,3,0.0,3,2,1,50.0,2,0,0,0,0,0,0,3,3,2,1,Matches
947,José Antonio Martínez Gil\Jose-Antonio-Martinez-Gil,es ESP,DF,Granada,es La Liga,26,1993,13.2,22,11,11,10,1,8,16,50.0,8,95,38,40.0,60,33,2,16,4,0,12,20,42,76,0,Matches
948,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,eng Premier League,18,2001,2.2,6,4,4,2,0,3,6,50.0,3,36,14,38.9,15,20,1,6,0,0,6,3,9,1,0,Matches
949,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,de Bundesliga,28,1991,8.5,5,3,3,0,2,1,12,8.3,11,121,42,34.7,8,46,67,6,1,0,5,1,6,5,0,Matches
950,Matthias Ginter\Matthias-Ginter,de GER,DF,M'gladbach,de Bundesliga,25,1994,30.9,37,20,24,13,0,14,34,41.2,20,198,72,36.4,106,80,12,47,24,0,23,29,66,151,4,Matches
951,Andrei Girotto\Andrei-Girotto,br BRA,DF,Nantes,fr Ligue 1,27,1992,24.2,78,54,48,28,2,36,75,48.0,39,317,125,39.4,200,109,8,43,18,0,25,32,110,166,1,Matches
952,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,eng Premier League,32,1986,11.0,4,3,1,3,0,0,10,0.0,10,207,59,28.5,10,100,97,20,6,0,14,2,6,13,0,Matches
953,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,de Bundesliga,29,1989,25.3,74,46,32,37,5,32,81,39.5,49,523,166,31.7,171,300,52,47,8,0,39,31,105,69,1,Matches
954,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,fr Ligue 1,31,1988,23.0,30,13,17,12,1,13,24,54.2,11,166,52,31.3,105,58,3,41,19,0,22,27,57,165,0,Matches
955,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,de Bundesliga,24,1995,24.4,39,25,6,23,10,13,37,35.1,24,434,137,31.6,59,176,199,28,2,0,26,15,54,4,0,Matches
956,Joris Gnagnon\Joris-Gnagnon,fr FRA,DF,Rennes,fr Ligue 1,22,1997,14.2,22,15,18,4,0,10,13,76.9,3,94,37,39.4,62,27,5,28,16,0,12,19,41,105,0,Matches
957,Eddy Gnahoré\Eddy-Gnahore,fr FRA,MF,Amiens,fr Ligue 1,25,1993,12.6,27,20,12,12,3,5,26,19.2,21,276,64,23.2,87,153,36,27,5,0,22,11,38,29,0,Matches
958,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,eng Premier League,21,1998,29.4,34,22,26,7,1,12,24,50.0,12,234,78,33.3,162,65,7,47,32,0,15,26,60,171,4,Matches
959,Diego Godín\Diego-Godin,uy URU,DF,Inter,it Serie A,33,1986,17.1,43,29,22,19,2,17,35,48.6,18,227,73,32.2,127,84,16,21,3,0,18,44,87,74,1,Matches
960,Akaki Gogia\Akaki-Gogia,de GER,MFFW,Union Berlin,de Bundesliga,27,1992,1.3,2,1,0,0,2,1,4,25.0,3,26,7,26.9,7,12,7,4,2,0,2,1,3,3,0,Matches
961,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,31,1988,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
962,Edoardo Goldaniga\Edoardo-Goldaniga,it ITA,DF,Genoa,it Serie A,25,1993,8.4,10,8,6,4,0,0,5,0.0,5,81,31,38.3,46,28,7,14,7,0,7,17,27,34,0,Matches
963,Benjamin Goller\Benjamin-Goller,de GER,FWMF,Werder Bremen,de Bundesliga,20,1999,3.2,9,6,3,4,2,4,11,36.4,7,108,20,18.5,28,48,32,3,0,0,3,1,10,2,0,Matches
964,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,24,1995,32.0,0,0,0,0,0,0,2,0.0,2,7,2,28.6,7,0,0,0,0,0,0,0,0,1,0,Matches
965,Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MF,Monaco,fr Ligue 1,23,1996,22.9,52,35,16,30,6,16,74,21.6,58,627,153,24.4,153,345,129,41,0,0,41,29,81,19,0,Matches
966,André Gomes\Andre-Gomes,pt POR,MF,Everton,eng Premier League,26,1993,16.2,32,24,13,14,5,7,63,11.1,56,369,94,25.5,126,198,45,28,3,0,25,7,39,10,0,Matches
967,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,eng Premier League,18,2000,0.2,0,0,0,0,0,0,0,,0,11,1,9.1,6,4,1,1,0,0,1,0,0,0,0,Matches
968,Ibai Gómez\Ibai-Gomez,es ESP,FW,Athletic Club,es La Liga,29,1989,7.7,5,3,2,3,0,2,10,20.0,8,75,23,30.7,10,41,24,11,0,0,11,5,10,4,0,Matches
969,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,eng Premier League,22,1997,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,41,67,90,1,Matches
970,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,es La Liga,22,1996,23.8,11,7,2,7,2,2,6,33.3,4,276,64,23.2,14,118,144,12,2,0,10,5,16,14,0,Matches
971,Moi Gómez\Moi-Gomez,es ESP,FWMF,Villarreal,es La Liga,25,1994,25.8,28,16,13,8,7,8,26,30.8,18,424,117,27.6,101,226,97,51,3,0,48,24,52,19,1,Matches
972,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Atalanta,it Serie A,31,1988,30.6,30,25,11,12,7,17,44,38.6,27,347,100,28.8,52,164,131,33,0,0,33,15,45,9,1,Matches
973,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,es La Liga,27,1992,8.0,7,4,4,3,0,4,4,100.0,0,47,19,40.4,25,21,1,11,4,0,7,9,16,46,0,Matches
974,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,25,1993,18.0,0,0,0,0,0,0,1,0.0,1,6,0,0.0,6,0,0,1,0,0,1,0,0,1,1,Matches
975,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,es La Liga,30,1989,16.7,61,39,25,32,4,23,58,39.7,35,421,131,31.1,138,255,28,26,3,0,23,20,81,37,0,Matches
976,Mathieu Goncalves\Mathieu-Goncalves,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,3.5,7,4,5,2,0,3,9,33.3,6,51,18,35.3,43,8,0,8,4,0,4,2,9,14,0,Matches
977,Jérôme Gondorf\Jerome-Gondorf,de GER,MF,Freiburg,de Bundesliga,31,1988,1.3,10,5,6,3,1,3,5,60.0,2,49,12,24.5,16,25,8,2,2,0,0,1,11,3,0,Matches
978,Álvaro González\Alvaro-Gonzalez,es ESP,DF,Marseille,fr Ligue 1,29,1990,18.1,18,8,12,4,2,7,13,53.8,6,82,22,26.8,48,31,3,11,4,0,7,18,36,104,1,Matches
979,Bruno González\Bruno-Gonzalez,es ESP,DF,Getafe,es La Liga,29,1990,2.0,4,2,4,0,0,1,1,100.0,0,24,6,25.0,12,11,1,1,0,0,1,0,4,7,0,Matches
980,Bruno González\Bruno-Gonzalez,es ESP,DF,Levante,es La Liga,29,1990,5.1,7,4,5,2,0,2,4,50.0,2,42,19,45.2,25,17,0,7,3,0,4,3,10,39,0,Matches
981,Édgar González\Edgar-Gonzalez,es ESP,MF,Betis,es La Liga,22,1997,7.6,10,7,3,6,1,4,16,25.0,12,101,27,26.7,35,51,15,11,5,0,6,11,21,27,0,Matches
982,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,eng Premier League,18,2001,4.9,7,5,4,3,0,1,14,7.1,13,120,24,20.0,40,60,20,11,2,0,9,8,15,3,0,Matches
983,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,de Bundesliga,24,1995,16.8,29,21,8,16,5,6,39,15.4,33,280,86,30.7,42,153,85,21,3,0,18,23,52,10,0,Matches
984,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,es La Liga,22,1996,7.9,18,9,10,4,4,12,24,50.0,12,109,36,33.0,48,43,18,14,0,0,14,13,31,30,0,Matches
985,Robin Gosens\Robin-Gosens,de GER,DF,Atalanta,it Serie A,25,1994,28.1,57,31,22,25,10,16,50,32.0,34,337,104,30.9,107,141,89,51,8,0,43,39,96,53,0,Matches
986,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,eng Premier League,29,1990,14.0,29,20,16,9,4,7,30,23.3,23,357,93,26.1,133,149,75,37,11,0,26,20,49,26,0,Matches
987,Mario Götze\Mario-Gotze,de GER,FW,Dortmund,de Bundesliga,27,1992,5.8,14,8,0,10,4,5,9,55.6,4,209,48,23.0,12,94,103,7,3,0,4,2,16,1,0,Matches
988,Prince-Désir Gouano\Prince-Desir-Gouano,fr FRA,DF,Amiens,fr Ligue 1,25,1993,3.0,2,2,1,1,0,0,0,,0,25,9,36.0,13,12,0,5,3,0,2,2,4,15,0,Matches
989,Amine Gouiri\Amine-Gouiri,fr FRA,FW,Lyon,fr Ligue 1,19,2000,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
990,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,28,1991,18.3,34,25,24,9,1,10,27,37.0,17,153,61,39.9,98,51,4,34,11,1,23,40,74,119,0,Matches
991,Max Gradel\Max-Gradel,ci CIV,MFFW,Toulouse,fr Ligue 1,31,1987,18.2,40,28,19,14,7,14,52,26.9,38,375,90,24.0,99,182,94,27,2,0,25,10,50,13,0,Matches
992,Samuel Grandsir\Samuel-Grandsir,fr FRA,FWMF,Brest,fr Ligue 1,22,1996,16.6,33,19,10,17,6,9,34,26.5,25,291,83,28.5,76,141,74,20,0,0,20,12,45,8,0,Matches
993,Esteban Granero\Esteban-Granero,es ESP,MF,Espanyol,es La Liga,32,1987,5.3,9,7,4,4,1,3,10,30.0,7,86,23,26.7,20,52,14,4,3,0,1,3,12,5,0,Matches
994,Alberto Grassi\Alberto-Grassi,it ITA,MF,Parma,it Serie A,24,1995,7.1,10,7,6,4,0,4,11,36.4,7,109,35,32.1,38,49,22,16,4,0,12,19,29,9,0,Matches
995,Andre Gray\Andre-Gray,eng ENG,FW,Watford,eng Premier League,28,1991,8.4,5,5,0,1,4,1,1,100.0,0,161,43,26.7,13,61,87,3,1,0,2,1,6,2,0,Matches
996,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,eng Premier League,23,1996,6.9,8,5,6,1,1,3,14,21.4,11,129,39,30.2,32,63,34,10,0,0,10,5,13,2,0,Matches
997,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,eng Premier League,23,1995,35.9,36,28,13,14,9,8,31,25.8,23,574,154,26.8,161,231,182,55,12,0,43,25,61,13,1,Matches
998,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,eng Premier League,17,2001,14.7,19,13,6,6,7,7,21,33.3,14,190,61,32.1,50,75,65,15,0,0,15,8,27,4,0,Matches
999,Michael Gregoritsch\Michael-Gregoritsch,at AUT,MFFW,Augsburg,de Bundesliga,25,1994,3.4,4,3,2,1,1,0,7,0.0,7,65,14,21.5,15,32,18,5,1,0,4,3,7,7,0,Matches
1000,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FW,Schalke 04,de Bundesliga,25,1994,9.2,7,4,0,5,2,1,8,12.5,7,164,45,27.4,10,73,81,15,3,1,12,2,9,9,0,Matches
1001,Clément Grenier\Clement-Grenier,fr FRA,MF,Rennes,fr Ligue 1,28,1991,9.3,17,10,6,10,1,11,40,27.5,29,176,42,23.9,54,97,25,9,2,0,7,8,25,18,0,Matches
1002,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,Barcelona,es La Liga,28,1991,28.3,34,18,11,12,11,9,31,29.0,22,427,135,31.6,71,193,163,29,3,0,26,11,45,23,0,Matches
1003,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Hoffenheim,de Bundesliga,26,1993,0.2,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,Matches
1004,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MFFW,Freiburg,de Bundesliga,26,1993,18.0,18,9,11,5,2,5,25,20.0,20,234,62,26.5,62,96,76,23,2,0,21,15,33,15,1,Matches
1005,Florian Grillitsch\Florian-Grillitsch,at AUT,MFDF,Hoffenheim,de Bundesliga,23,1995,26.8,67,45,38,28,1,26,61,42.6,35,406,130,32.0,175,198,33,53,7,0,46,51,118,46,0,Matches
1006,Jérémy Grimm\Jeremy-Grimm,fr FRA,FW,Strasbourg,fr Ligue 1,32,1987,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1007,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,eng Premier League,22,1997,7.0,6,5,3,2,1,2,7,28.6,5,78,32,41.0,28,27,23,3,0,0,3,8,14,8,1,Matches
1008,Christian Groß\Christian-Gross,de GER,DFMF,Werder Bremen,de Bundesliga,30,1989,9.7,23,12,16,5,2,6,15,40.0,9,134,39,29.1,76,50,8,19,8,0,11,16,39,69,0,Matches
1009,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,eng Premier League,28,1991,20.0,33,21,6,19,8,8,32,25.0,24,395,103,26.1,81,195,119,27,2,0,25,9,42,11,0,Matches
1010,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,de Bundesliga,24,1995,9.8,24,18,12,11,1,5,24,20.8,19,177,48,27.1,65,100,12,7,0,0,7,5,29,9,0,Matches
1011,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,de Bundesliga,23,1996,26.8,69,36,28,32,9,23,68,33.8,45,571,153,26.8,196,295,80,50,14,0,36,22,91,80,0,Matches
1012,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,32,1987,35.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,Matches
1013,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,es La Liga,32,1986,22.7,31,18,19,10,2,14,44,31.8,30,365,87,23.8,112,181,72,31,5,0,26,19,50,22,0,Matches
1014,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,es La Liga,28,1991,29.5,19,11,3,11,5,2,21,9.5,19,552,99,17.9,38,323,191,35,0,0,35,6,25,18,0,Matches
1015,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MFDF,Sevilla,es La Liga,27,1991,13.5,19,12,10,8,1,6,15,40.0,9,133,41,30.8,47,75,11,28,10,0,18,16,35,35,0,Matches
1016,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,es La Liga,22,1996,14.1,25,21,14,8,3,8,32,25.0,24,239,59,24.7,60,117,62,14,1,0,13,8,33,0,0,Matches
1017,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,eng Premier League,20,1999,19.4,24,13,11,9,4,10,36,27.8,26,384,109,28.4,158,175,51,40,7,0,33,30,54,48,0,Matches
1018,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DF,Dortmund,de Bundesliga,25,1993,25.9,43,29,21,18,4,15,31,48.4,16,278,120,43.2,110,116,52,45,3,1,42,43,86,25,0,Matches
1019,Adrián Guerrero\Adrian-Guerrero,es ESP,DF,Valencia,es La Liga,21,1998,1.4,3,1,2,1,0,1,2,50.0,1,15,2,13.3,8,5,2,2,0,0,2,2,5,2,0,Matches
1020,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,es La Liga,22,1997,10.4,28,18,9,18,1,9,24,37.5,15,216,62,28.7,53,135,28,13,1,0,12,10,38,28,0,Matches
1021,Babacar Guèye\Babacar-Gueye,sn SEN,FW,Paderborn 07,de Bundesliga,24,1994,1.2,2,0,0,0,2,0,1,0.0,1,34,6,17.6,1,9,24,1,1,0,0,0,2,3,0,Matches
1022,John Guidetti\John-Guidetti,se SWE,FW,Alavés,es La Liga,27,1992,1.1,3,2,0,2,1,0,1,0.0,1,28,6,21.4,1,13,14,1,0,0,1,0,3,0,0,Matches
1023,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MFDF,Wolfsburg,de Bundesliga,28,1990,22.9,48,28,24,22,2,12,40,30.0,28,353,116,32.9,127,190,36,41,10,0,31,47,95,84,2,Matches
